,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Yapı Tipi,Net Metrekare,Brüt Metrekare,Salon Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Aidat,Kira Getirisi,Banyo Sayısı,WC Sayısı,Site İçerisinde,Eşya Durumu,Kullanım Durumu,Fiyat Durumu,Yapı Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Takas,Fiyat
0,9253451,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,90 m2,116 m2,28 m2,2+1,0 (Yeni),10. Kat,11,Merkezi (Pay Ölçer),280 TL,5.500 TL,2,2,Hayır,Boş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"1,650,000TL"
1,9253422,18 Şubat 2021,18 Şubat 2021,Konut,Satılık,Betonarme,95 m2,120 m2,32 m2,2+1,1,13. Kat,15,Merkezi (Pay Ölçer),180 TL,5.000 TL,2,2,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,225,000TL"
2,9248811,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,90 m2,100 m2,Belirtilmemiş,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,2,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"620,000TL"
3,9248525,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,700 m2,750 m2,Belirtilmemiş,8+ Oda,20 Ve Üzeri,Müstakil,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,6+,6+,Hayır,Boş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"1,600,000TL"
4,9247767,17 Şubat 2021,17 Şubat 2021,Konut,Satılık,Betonarme,124 m2,160 m2,43 m2,3+1,2,1. Kat,9,Merkezi (Pay Ölçer),450 TL,Belirtilmemiş,2,2,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Sıfır,Krediye Uygun,Yatırıma Uygun,Yok,"2,765,000TL"
5,9239506,15 Şubat 2021,15 Şubat 2021,Konut,Satılık,Betonarme,70 m2,85 m2,20 m2,2+1,20 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,50 TL,2.000 TL,1,1,Hayır,Boş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Yatırıma Uygun,Yok,"395,000TL"
6,9236678,13 Şubat 2021,18 Şubat 2021,Konut,Satılık,Belirtilmemiş,110 m2,130 m2,Belirtilmemiş,3+1,20 Ve Üzeri,4. Kat,9,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"995,000TL"
7,9226436,11 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,125 m2,Belirtilmemiş,3+1,2,6. Kat,13,Kombi Doğalgaz,230 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Kiracı Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Belirtilmemiş,Yok,"1,565,000TL"
8,9211575,07 Şubat 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,84 m2,101 m2,Belirtilmemiş,2+1,5-10,6. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,700,000TL"
9,9178275,28 Ocak 2021,17 Şubat 2021,Konut,Satılık,Belirtilmemiş,90 m2,112 m2,Belirtilmemiş,3+1,0 (Yeni),9. Kat,11,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,650,000TL"
